구분,fid,위도,경도,label,예측결과,결빙확률,결빙확률_percent,블랙아이스_발생확률,블랙아이스_발생확률_percent,블랙아이스_예측결과,기온,풍향,풍속,강수량,습도,추정노면온도,교량,터널,ROAD_RANK,Drainage Class,aws_지점,aws_거리_km,alti_mean,terrain_mean,aspect_mean,장소,위치,사고일시,위험도
결빙지역,36,35.17155336,126.8994928,1,1.0,0.822,82.193,,,,2.665,126.381,1.219,0.519,73.861,1.981,0,0,102.0,3.600933908,156,0.733,29.8415475,0.431508452,276.4813556,,,,높음
결빙지역,37,35.2019226,126.8904699,1,1.0,0.665,66.512,,,,2.665,126.381,1.219,0.519,73.861,1.981,0,0,104.0,2.295577131,156,3.229,64.88625336,5.180511475,216.4758301,,,,보통
결빙지역,38,35.19034661,126.9278032,1,1.0,0.59,59.041,,,,2.665,126.381,1.219,0.519,73.861,1.981,0,0,101.0,3.453438395,156,3.82,71.75243126,3.603163543,124.50606940000002,,,,보통
결빙지역,39,35.20296402,126.873676,1,1.0,0.713,71.344,,,,2.665,126.381,1.219,0.519,73.861,1.981,0,0,101.0,3.830642268,156,3.719,25.33421117,1.508259212,257.7567313,,,,높음
결빙지역,40,35.16130449,126.8893677,1,1.0,0.761,76.109,,,,2.665,126.381,1.219,0.519,73.861,1.981,0,0,103.0,1.0,156,1.305,30.13908147,0.382962105,247.6874146,,,,높음
결빙지역,41,35.21634082,126.8274809,1,1.0,0.967,96.715,,,,2.665,126.381,1.219,0.519,73.861,1.981,1,0,103.0,2.0,156,7.568,40.40567461,0.866353336,334.18481750000007,,,,높음
결빙지역,42,35.15421563,126.7378984,1,1.0,0.966,96.629,,,,2.665,126.381,1.219,0.519,73.861,1.981,1,0,104.0,,156,14.126,17.91733633,0.432543129,183.3153186,,,,높음
결빙지역,43,35.17712566,126.8385462,1,1.0,0.817,81.693,,,,2.665,126.381,1.219,0.519,73.861,1.981,0,0,103.0,1.0,156,4.845,14.51057533,1.868438153,125.5128226,,,,높음
결빙지역,44,35.1584307,126.7304436,1,1.0,0.937,93.666,,,,2.665,126.381,1.219,0.519,73.861,1.981,1,0,102.0,3.0,156,14.737,19.20090327,1.08971871,232.5150948,,,,높음
결빙지역,45,35.16559095,126.690027,1,1.0,0.76,76.048,,,,2.665,126.381,1.219,0.519,73.861,1.981,0,0,102.0,2.0,156,18.34,25.39768287,0.576644017,306.0090196,,,,높음
결빙지역,46,36.32289065,127.4155849,1,0.0,0.434,43.433,,,,0.431,239.05,1.282,0.328,72.131,-0.032,0,0,103.0,2.461759425,133,6.707,61.47130838,2.571395247,263.1993218,,,,보통
결빙지역,47,36.34242206,127.4087104,1,1.0,0.604,60.357,,,,0.431,239.05,1.282,0.328,72.131,-0.032,0,0,101.0,4.0,133,4.644,44.83069073,0.589365736,161.7914508,,,,보통
결빙지역,48,36.28016805,127.3762134,1,1.0,0.692,69.207,,,,0.431,239.05,1.282,0.328,72.131,-0.032,0,0,102.0,2.892908309,133,10.218,78.98865509,3.9358005519999995,45.7492981,,,,보통
결빙지역,49,36.35172005,127.3784454,1,1.0,0.74,73.975,,,,0.431,239.05,1.282,0.328,72.131,-0.032,0,0,101.0,5.860164934,133,2.326,51.17381397,0.8058944149999999,89.89978121,,,,높음
결빙지역,50,36.34162131,127.3892991,1,1.0,0.691,69.062,,,,0.431,239.05,1.282,0.328,72.131,-0.032,0,0,101.0,4.0,133,3.713,47.26077031,1.46384444,116.3602567,,,,보통
결빙지역,51,36.35568704,127.4015283,1,1.0,0.716,71.631,,,,0.431,239.05,1.282,0.328,72.131,-0.032,0,0,104.0,6.0,133,3.199,41.78911086,0.585228439,94.50504623,,,,높음
결빙지역,52,36.44607853,127.4061677,1,0.0,0.308,30.792,,,,0.431,239.05,1.282,0.328,72.131,-0.032,0,0,103.0,3.0,133,8.783,29.95111488,0.174778413,281.5303611,,,,낮음
결빙지역,53,36.40651316,127.4237711,1,1.0,0.89,88.966,,,,0.431,239.05,1.282,0.328,72.131,-0.032,1,0,102.0,4.130794107,133,6.01,36.23106982,1.615025216,294.0466138,,,,높음
결빙지역,54,37.29989155,126.9695785,1,1.0,0.947,94.693,,,,-0.616,230.916,1.475,0.395,68.764,-1.036,0,1,104.0,2.0,119,3.369,57.65449449999999,1.513160978,139.0872284,,,,높음
결빙지역,55,37.31956841,126.9877564,1,1.0,0.978,97.775,,,,-0.616,230.916,1.475,0.395,68.764,-1.036,1,0,102.0,1.0,119,5.26,83.8775299,5.653895884,128.0919857,,,,높음
결빙지역,56,37.24676661,127.0323267,1,1.0,0.842,84.168,,,,-0.616,230.916,1.475,0.395,68.764,-1.036,0,0,101.0,2.0,119,4.526,31.24254539,0.520427014,198.5086186,,,,높음
결빙지역,57,37.25028166,127.0187287,1,1.0,0.75,75.015,,,,-0.616,230.916,1.475,0.395,68.764,-1.036,0,0,102.0,4.0,119,3.263,28.83347459,0.347053138,139.9623905,,,,높음
결빙지역,58,37.27270381,126.9611858,1,1.0,0.989,98.901,,,,-0.616,230.916,1.475,0.395,68.764,-1.036,1,0,102.0,3.090778615,119,2.134,29.657931440000002,0.745916759,54.2542085,,,,높음
결빙지역,59,37.28299924,127.0383408,1,1.0,0.732,73.182,,,,-0.616,230.916,1.475,0.395,68.764,-1.036,0,0,102.0,2.0,119,4.841,56.90894699,0.494783968,231.9758148,,,,높음
결빙지역,60,37.28779621,126.9779779,1,1.0,0.816,81.598,,,,-0.616,230.916,1.475,0.395,68.764,-1.036,0,0,101.0,2.0,119,1.841,47.29036627,0.862427196,149.9510034,,,,높음
결빙지역,61,37.26420602,127.0327123,1,1.0,0.845,84.483,,,,-0.616,230.916,1.475,0.395,68.764,-1.036,0,0,104.0,3.0,119,4.291,48.84309202,1.031398319,132.8558795,,,,높음
결빙지역,62,37.27350561,127.0475447,1,1.0,0.673,67.335,,,,-0.616,230.916,1.475,0.395,68.764,-1.036,0,0,104.0,3.671572146,119,5.509,39.29393537,1.081786924,241.9250154,,,,보통
결빙지역,63,37.44899824,127.1269436,1,1.0,0.839,83.915,,,,-2.46,257.924,1.642,0.231,69.566,-2.73,0,0,101.0,1.0,116,14.403,43.18823770000001,0.41981975,126.2156174,,,,높음
결빙지역,64,37.4637419,127.1696253,1,1.0,0.851,85.106,,,,-2.46,257.924,1.642,0.231,69.566,-2.73,0,0,104.0,3.98381877,116,18.289,112.1195508,9.494013384,176.9631467,,,,높음
결빙지역,65,37.44226142,127.1791366,1,1.0,0.663,66.281,,,,-2.46,257.924,1.642,0.231,69.566,-2.73,0,0,103.0,2.0,116,19.003,120.5544448,7.441828923,260.96564,,,,보통
결빙지역,66,37.39145731,127.0648631,1,1.0,0.91,91.048,,,,-2.46,257.924,1.642,0.231,69.566,-2.73,1,0,103.0,1.0,116,10.672,92.44327857,1.248228899,121.1406107,,,,높음
결빙지역,67,37.41487385,127.1285702,1,1.0,0.901,90.139,,,,-2.46,257.924,1.642,0.231,69.566,-2.73,0,0,104.0,2.008989572,116,14.902,30.41449918,0.213335213,203.4949688,,,,높음
결빙지역,68,37.50564551,126.7969021,1,1.0,0.621,62.065,,,,0.709,197.356,2.784,0.338,65.264,-0.232,0,1,104.0,2.0,112,15.49,38.48670197,1.6539864540000002,194.0900726,,,,보통
결빙지역,69,37.50419304,126.7908989,1,1.0,0.605,60.466,,,,0.709,197.356,2.784,0.338,65.264,-0.232,0,0,104.0,2.0,112,14.939,21.98684782,5.282822211,189.0783933,,,,보통
결빙지역,70,37.44215656,126.846892,1,1.0,0.888,88.849,,,,-2.46,257.924,1.642,0.231,69.566,-2.73,0,1,104.0,2.76635514,116,10.332,23.73823554,1.867512967,193.9167862,,,,높음
결빙지역,71,37.12621157,127.0827939,1,1.0,0.659,65.939,,,,-0.616,230.916,1.475,0.395,68.764,-1.036,0,0,103.0,3.744069015,119,17.066,27.10169241,1.877619815,342.7622455,,,,보통
결빙지역,72,36.99202335,127.1255234,1,1.0,0.823,82.33,,,,-1.264,165.124,0.693,0.321,80.41,-1.374,0,0,104.0,3.450592885,232,23.623,18.85248293,1.138139272,151.0586487,,,,높음
결빙지역,73,37.91670036,127.0553823,1,1.0,0.891,89.122,,,,-2.14,167.384,0.702,0.407,68.097,-2.178,0,0,102.0,2.0,98,1.711,55.29027452,0.402876289,131.7144923,,,,높음
결빙지역,74,37.89555454,127.0577832,1,1.0,0.493,49.311,,,,-2.14,167.384,0.702,0.407,68.097,-2.178,0,0,101.0,2.807207207,98,0.751,67.51609108,2.193080446,291.4122707,,,,보통
결빙지역,75,37.30119344,126.9021616,1,1.0,0.832,83.17,,,,-0.616,230.916,1.475,0.395,68.764,-1.036,0,0,103.0,2.038904899,119,8.026,19.76716042,6.890158653,346.5820923,,,,높음
결빙지역,76,37.34384203,126.7950334,1,1.0,0.968,96.846,,,,-0.616,230.916,1.475,0.395,68.764,-1.036,1,0,101.0,6.0,119,18.613,13.35142199,1.762818209,184.54087769999998,,,,높음
결빙지역,77,37.30030255,126.8051888,1,0.0,0.256,25.619,,,,-0.616,230.916,1.475,0.395,68.764,-1.036,0,0,102.0,6.0,119,16.236,6.141897274,0.33207452,180.3468355,,,,낮음
결빙지역,78,37.63910759,126.7574997,1,1.0,0.883,88.287,,,,0.386,179.43,1.884,0.38,64.135,-0.26,1,0,101.0,,108,19.834,6.048506887,2.039617897,209.3895357,,,,높음
결빙지역,79,37.67767629,126.7982904,1,0.0,0.145,14.461,,,,0.386,179.43,1.884,0.38,64.135,-0.26,0,0,102.0,2.0,108,18.902,28.33396149,1.069486022,196.7557983,,,,낮음
결빙지역,80,37.65525146,126.7197013,1,1.0,0.911,91.123,,,,0.709,197.356,2.784,0.338,65.264,-0.232,0,0,103.0,,112,21.438,3.733594656,0.450967729,234.3251038,,,,높음
결빙지역,81,37.65614055,126.7245232,1,1.0,0.932,93.16,,,,0.709,197.356,2.784,0.338,65.264,-0.232,0,0,101.0,4.0,112,21.698,10.99760304,0.559119031,167.3059341,,,,높음
결빙지역,82,37.66508221,127.3715008,1,1.0,0.619,61.949,,,,-1.053,204.66,0.905,0.382,71.49,-1.258,0,0,102.0,2.0,202,22.419,78.23205714,10.62417855,80.23431498,,,,보통
결빙지역,83,37.14502564,127.0781302,1,1.0,0.877,87.714,,,,-0.616,230.916,1.475,0.395,68.764,-1.036,0,0,103.0,3.0,119,15.08,21.37624325,0.30138636,315.86250290000004,,,,높음
결빙지역,84,37.38384418,126.8666021,1,0.0,0.478,47.832,,,,-2.46,257.924,1.642,0.231,69.566,-2.73,0,0,101.0,6.0,116,10.903,36.1681108,3.087228396,196.6713281,,,,보통
결빙지역,85,37.28989809,127.0985551,1,1.0,0.961,96.054,,,,-0.616,230.916,1.475,0.395,68.764,-1.036,1,0,104.0,2.0,119,10.21,87.75244321,4.6602403,189.4654988,,,,높음
결빙지역,86,37.19326717,127.4425693,1,1.0,0.858,85.821,,,,-1.634,196.035,0.643,0.33,75.346,-1.697,1,0,102.0,1.0,203,8.686,85.35951581,3.6548830660000005,292.8795574,,,,높음
결빙지역,87,37.02078363,127.242254,1,1.0,0.936,93.628,,,,-1.264,165.124,0.693,0.321,80.41,-1.374,1,0,102.0,5.935460739,232,28.895,29.27362061,0.376234919,254.3997192,,,,높음
결빙지역,88,37.03349754,127.1398019,1,1.0,0.931,93.122,,,,-1.264,165.124,0.693,0.321,80.41,-1.374,1,0,102.0,2.0,232,28.28,51.08647154,2.269956584,274.0803755,,,,높음
결빙지역,89,37.10196632,127.5143601,1,1.0,0.482,48.22,,,,-1.634,196.035,0.643,0.33,75.346,-1.697,0,0,102.0,2.0,203,18.214,91.00167039,5.962743491,209.2659604,,,,보통
결빙지역,90,37.07916999,127.4344987,1,1.0,0.864,86.441,,,,-1.634,196.035,0.643,0.33,75.346,-1.697,1,0,102.0,3.705521472,203,21.019,87.30797349999999,0.701995339,104.3759026,,,,높음
결빙지역,91,37.20465645,127.0813934,1,1.0,0.976,97.571,,,,-0.616,230.916,1.475,0.395,68.764,-1.036,1,0,102.0,2.105717368,119,10.508,33.72805292,1.376251111,50.38402799,,,,높음
결빙지역,92,37.81785497,127.046019,1,1.0,0.877,87.699,,,,-2.14,167.384,0.702,0.407,68.097,-2.178,0,0,103.0,2.0,98,9.434,90.53510604,1.426837026,63.95798737,,,,높음
결빙지역,93,37.79917441,126.9814084,1,1.0,0.828,82.76,,,,-2.14,167.384,0.702,0.407,68.097,-2.178,0,0,103.0,2.0,98,13.377,101.26594330000002,0.9856831840000001,284.6907836,,,,높음
결빙지역,94,37.78400914,127.0671881,1,1.0,0.572,57.232,,,,-2.14,167.384,0.702,0.407,68.097,-2.178,0,0,101.0,5.0,98,13.121,61.8891008,3.031617437,191.6994285,,,,보통
결빙지역,95,37.3458648,127.9427646,1,1.0,0.775,77.547,,,,-1.452,143.199,0.866,0.355,72.644,-1.602,0,0,103.0,2.681180281,114,0.99,139.5884564,3.226469688,114.1453287,,,,높음
결빙지역,96,37.36011976,127.9395029,1,1.0,0.802,80.164,,,,-1.452,143.199,0.866,0.355,72.644,-1.602,0,0,101.0,2.0,114,2.592,118.4439468,3.335032225,127.2761993,,,,높음
결빙지역,97,37.34890854,127.938213,1,1.0,0.788,78.768,,,,-1.452,143.199,0.866,0.355,72.644,-1.602,0,0,103.0,1.58057554,114,1.469,155.81185909999996,3.825101376,98.40312195,,,,높음
결빙지역,98,37.33092937,127.9587565,1,1.0,0.804,80.436,,,,-1.452,143.199,0.866,0.355,72.644,-1.602,0,0,102.0,1.0,114,1.3,139.543505,0.596986611,340.9424185,,,,높음
결빙지역,99,37.33205277,127.9478264,1,1.0,0.84,83.99,,,,-1.452,143.199,0.866,0.355,72.644,-1.602,0,0,103.0,1.396050269,114,0.615,143.7431299,1.3870097210000003,123.894793,,,,높음
결빙지역,100,38.20691975,128.5644051,1,1.0,0.489,48.854,,,,2.87,246.011,2.632,0.384,45.446,1.755,0,0,102.0,1.025843503,90,4.89,18.9705332,4.509354936,73.68543394,,,,보통
결빙지역,101,38.20800917,128.5846014,1,1.0,0.709,70.852,,,,2.87,246.011,2.632,0.384,45.446,1.755,0,0,102.0,1.0,90,5.076,17.0801424,4.056200849,291.6744637,,,,높음
결빙지역,102,36.62734983,127.4627775,1,1.0,0.645,64.481,,,,1.15,211.015,0.912,0.292,62.876,0.731,0,0,103.0,2.0,131,2.37,69.77983211,2.873726968,238.0634759,,,,보통
결빙지역,103,37.13415619,128.2057973,1,1.0,0.625,62.495,,,,-3.607,135.177,0.86,0.258,81.412,-3.53,0,0,103.0,3.0,221,2.976,248.0900879,1.618403912,121.8131256,,,,보통
결빙지역,104,37.15893794,128.211456,1,1.0,0.699,69.925,,,,-3.607,135.177,0.86,0.258,81.412,-3.53,0,0,104.0,2.776737486,221,1.521,291.5381087,2.035207115,233.9145601,,,,보통
결빙지역,105,36.59598575,127.4716935,1,1.0,0.598,59.752,,,,1.15,211.015,0.912,0.292,62.876,0.731,0,0,104.0,2.438173976,131,5.545,62.54557016,2.712827675,112.5522619,,,,보통
결빙지역,106,36.87148139,127.6430925,1,0.0,0.45,45.016,,,,-2.054,128.596,0.877,0.25,73.893,-2.135,0,0,103.0,2.805585392,127,29.627,157.7028004,8.36276328,100.1658945,,,,보통
결빙지역,107,36.8186485,127.1435807,1,1.0,0.817,81.71,,,,-1.264,165.124,0.693,0.321,80.41,-1.374,0,0,104.0,3.979555237,232,4.774,41.12490837,1.246546335,129.8500321,,,,높음
결빙지역,108,36.82573511,127.1409464,1,1.0,0.842,84.208,,,,-1.264,165.124,0.693,0.321,80.41,-1.374,0,0,101.0,3.50752149,232,5.42,49.31598663,1.668535948,199.85699460000004,,,,높음
결빙지역,109,36.3797141,126.6391927,1,1.0,0.834,83.415,,,,1.582,124.396,1.858,0.317,73.863,0.836,0,0,103.0,2.0,235,9.368,41.67761211,5.932985305,348.0685953,,,,높음
결빙지역,110,36.49989285,126.8186871,1,0.0,0.054,5.419,,,,0.169,180.699,1.391,0.345,76.877,-0.304,0,0,103.0,3.106321839,177,21.07,156.1213733,5.636306245,96.64392832,,,,낮음
결빙지역,111,36.60101601,126.5616834,1,1.0,0.964,96.385,,,,0.169,180.699,1.391,0.345,76.877,-0.304,1,0,102.0,5.0,177,12.88,17.49626228,0.892427514,224.692685,,,,높음
결빙지역,112,35.83312315,127.1246288,1,0.0,0.22,21.988,,,,1.389,172.425,1.868,0.355,73.809,0.654,0,0,102.0,3.0,146,1.094,27.04256552,1.439052408,31.25524886,,,,낮음
결빙지역,113,35.87004558,127.1043666,1,1.0,0.978,97.752,,,,1.389,172.425,1.868,0.355,73.809,0.654,1,0,104.0,1.0,146,3.441,12.13810172,0.936869072,72.83711398,,,,높음
결빙지역,114,35.977151,126.8902333,1,1.0,0.599,59.92,,,,0.977,170.158,1.801,0.38,78.767,0.296,0,0,104.0,4.0,140,12.006,5.949919974,0.213198043,192.7194777,,,,보통
결빙지역,115,35.96424289,126.9465709,1,1.0,0.895,89.547,,,,0.977,170.158,1.801,0.38,78.767,0.296,1,0,103.0,3.807816422,140,17.275,8.371923447,0.900714993,205.3532257,,,,높음
결빙지역,116,35.95570507,126.9978729,1,1.0,0.775,77.464,,,,1.389,172.425,1.868,0.355,73.809,0.654,0,0,103.0,2.0,146,16.688,33.54629637,1.395847395,207.9163408,,,,높음
결빙지역,117,35.88667839,126.9031592,1,1.0,0.935,93.539,,,,0.977,170.158,1.801,0.38,78.767,0.296,1,0,103.0,3.19179561,140,18.353,9.456727248,0.761947965,62.98461545,,,,높음
결빙지역,118,35.98639472,127.2148316,1,1.0,0.913,91.279,,,,1.389,172.425,1.868,0.355,73.809,0.654,1,0,101.0,3.0,146,18.413,47.98522881,5.091522465,107.6310677,,,,높음
결빙지역,119,35.63793793,127.281104,1,1.0,0.774,77.366,,,,-0.792,174.495,0.561,0.441,83.351,-0.925,1,0,102.0,4.0,244,2.913,218.4110653,3.820128614,194.40357,,,,높음
결빙지역,120,34.80445017,126.4282835,1,1.0,0.88,88.023,,,,3.812,153.822,3.592,0.524,79.395,2.3,0,0,102.0,,165,4.504,3.1041803470000002,0.097885846,188.1605682,,,,높음
결빙지역,121,35.03570818,126.7355634,1,1.0,0.93,93.047,,,,2.665,126.381,1.219,0.519,73.861,1.981,1,0,104.0,2.0,156,20.837,7.339786637,0.4722314,281.7152747,,,,높음
결빙지역,122,34.48307763,126.6933326,1,1.0,0.757,75.731,,,,4.047,233.745,2.305,0.448,74.156,2.906,0,0,104.0,3.0,170,9.725,12.98490747,3.054959144,211.1144415,,,,높음
결빙지역,123,34.78422489,126.4500434,1,1.0,0.991,99.122,,,,3.812,153.822,3.592,0.524,79.395,2.3,1,0,104.0,,165,7.259,-1.394370935,1.048786666,134.862821,,,,높음
결빙지역,124,34.79443574,126.7134152,1,1.0,0.986,98.559,,,,1.973,203.596,1.235,0.42,81.06,1.363,1,0,103.0,3.0,259,17.87,17.74819756,0.424397796,329.3178101,,,,높음
결빙지역,125,34.8692644,126.4220603,1,0.0,0.085,8.45,,,,3.812,153.822,3.592,0.524,79.395,2.3,0,0,101.0,1.179597701,165,6.862,41.11500931,12.42026997,277.9520264,,,,낮음
결빙지역,126,35.02048711,126.5327018,1,0.0,0.184,18.416,,,,,,0.0,0.0,,,0,0,103.0,4.0,164,23.966,4.41634996,0.310377556,301.4061652,,,,낮음
결빙지역,127,36.47998747,128.6463375,1,1.0,0.817,81.721,,,,-1.256,211.672,1.079,0.138,65.325,-1.469,0,0,103.0,1.220905172,136,11.679,110.1479832,8.855084725,22.24656232,,,,높음
결빙지역,128,36.12772768,128.3639066,1,1.0,0.779,77.912,,,,0.072,257.913,1.091,0.193,66.997,-0.281,0,0,103.0,1.0,279,3.903,27.49609081,6.12754407,258.385833,,,,높음
결빙지역,129,36.11101133,128.3948441,1,1.0,0.891,89.116,,,,0.072,257.913,1.091,0.193,66.997,-0.281,1,0,101.0,1.0,279,7.015,27.37800501,0.872939758,98.05761068,,,,높음
결빙지역,130,36.13587149,128.3978382,1,0.0,0.419,41.894,,,,0.072,257.913,1.091,0.193,66.997,-0.281,0,0,101.0,3.0,279,6.961,38.98583582,3.619969425,121.4157842,,,,보통
